,index,Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min.1,Evap,Solar,ETo,RH max,min.2
SAN_DIEGO.A,154,20020603,2359,0.0,,63,57,,,SW,5.0,,,71.0,69.0,,550,0.16,92.2,70.8,
SAN_DIEGO.A,155,20020604,2359,0.0,,70,55,,,W,4.0,,,71.0,69.0,,686,0.21,97.2,72.5,
SAN_DIEGO.A,156,20020605,2359,0.0,,75,59,,,SW,4.0,,,72.0,69.0,,652,0.2,97.6,71.3,
SAN_DIEGO.A,157,20020606,2359,0.0,,71,59,,,SW,4.0,,,73.0,70.0,,626,0.18,98.0,77.0,
SAN_DIEGO.A,158,20020607,2359,0.0,,66,57,,,SW,5.0,,,73.0,69.0,,308,0.08,100.0,82.7,
SAN_DIEGO.A,159,20020608,2359,0.0,,64,56,,,SW,5.0,,,73.0,67.0,,317,0.07,100.0,79.5,
SAN_DIEGO.A,160,20020609,2359,0.0,,64,56,,,SW,5.0,,,73.0,66.0,,324,0.08,100.0,76.4,
SAN_DIEGO.A,161,20020610,2359,0.0,,66,56,,,SW,5.0,,,71.0,65.0,,576,0.17,100.0,65.5,
SAN_DIEGO.A,162,20020611,2359,0.0,,67,58,,,SW,4.0,,,71.0,68.0,,647,0.19,98.0,67.9,
SAN_DIEGO.A,163,20020612,2359,0.0,,69,59,,,NW,6.0,,,70.0,69.0,,708,0.22,89.7,68.3,
SAN_DIEGO.A,164,20020613,2359,0.0,,70,58,,,NW,7.0,,,72.0,67.0,,686,0.21,100.0,70.1,
SAN_DIEGO.A,165,20020614,2359,0.0,,71,58,,,NW,6.0,,,72.0,67.0,,682,0.21,100.0,63.1,
SAN_DIEGO.A,166,20020615,2359,0.0,,73,55,,,W,4.0,,,72.0,65.0,,744,0.22,100.0,66.5,
SAN_DIEGO.A,167,20020616,2359,0.0,,75,57,,,SW,4.0,,,73.0,67.0,,709,0.22,100.0,64.1,
SAN_DIEGO.A,168,20020617,2359,0.0,,72,57,,,SW,4.0,,,73.0,67.0,,721,0.21,100.0,70.9,
SAN_DIEGO.A,169,20020618,2359,0.0,,71,57,,,SW,4.0,,,74.0,67.0,,712,0.21,100.0,72.2,
SAN_DIEGO.A,170,20020619,2359,0.0,,67,58,,,SW,6.0,,,73.0,67.0,,382,0.1,100.0,85.9,
SAN_DIEGO.A,171,20020620,2359,0.0,,66,53,,,SW,4.0,,,75.0,63.0,,220,0.04,100.0,87.5,
SAN_DIEGO.A,172,20020621,2359,0.0,,67,57,,,W,5.0,,,73.0,66.0,,563,0.16,100.0,69.6,
SAN_DIEGO.A,173,20020622,2359,0.0,,71,57,,,W,5.0,,,73.0,66.0,,732,0.22,100.0,66.2,
